#;
# OntoWiki German language translation;
# Encoding:  UTF-8;
# Separator: ;
#;
Create New Knowledge Base;Neue Wissensbasis anlegen
Model URI;Modell-URI
Create an Empty Knowledge Base;Eine leere Wissensbasis anlegen
Base URI;Basis-URI
Type;Typ
Import From the Web;Aus dem WWW importieren
Upload a File;Eine Datei hochladen
File Type;Dateityp
File (max. %1$sB);Datei (max. %1$sB)
Paste Source;Quelltext eingeben
Source Code;Quelltext
Enter the URL where the model should be downloaded from. If you leave the field empty the model URI will be used.;Geben Sie die URL zur Modelldatei an. Wenn Sie dieses Feld leer lassen, wird stattdessen die Modell-URI benutzt.
Location;URL zur Datei
Instances of %1$s;Instanzen von %1$s
Properties of %1$s;Eigenschaften von %1$s
Discussion about %1$s;Diskussionen über %1$s
Source of Statements about %1$s;Quellcode zu %1$s
without imported statements;ohne importierte Statements
Jump to resource;Springe zu folgender Ressource ...
;
;
;
;
Register User;Benutzer registrieren
Username;Benutzername
Email Address;E-Mail-Adresse
Password;Kennwort
Password (repeat);Kennwort (wiederholen)
Unknown user identifier.;Unbekannte Benutzerkennung.
Forgot your password?;Passwort vergessen?
;
Predefined namespaces;Vordefinierte Namensräume
SPARQL Options;SPARQL-Optionen
Plain;Einfach
Submit Query;Abfrage absenden
result;Ergebnis
results;Ergebnisse
Search returned %1$d %2$s.;Die Suche lieferte %1$d %2$s. 
Query execution took %1$d ms.;Die Bearbeitung der Abfrage dauerte %1$d ms.
;
# Menüs;
View Resource;Ressource anzeigen
Edit Resource;Ressource bearbeiten
Delete Resource;Ressource löschen
Export Resource as RDF/XML;Ressource als RDF/XML exportieren
Export Resource as RDF/JSON;Ressource als RDF/JSON exportieren
Export Resource as RDF/N3;Ressource als RDF/N3 exportieren
Export Resource as RDF/JSON (Talis);Ressource als RDF/JSON (Talis) exportieren
Export Resource as Turtle;Ressource als Turtle exportieren
Export Resource as Notation 3;Ressource als N3 exportieren
Export Resource as N-Triples;Ressource als N-Triples exportieren
Go to Resource (external);Ressource aufrufen (extern)
List Instances;Instanzen auflisten
Create Instance;Instantiieren
Create Subclass;Unterklasse erstellen
Select Knowledge Base;Wissensbasis auswählen
View as Resource;Als Ressource anzeigen
Configure Knowledge Base;Wissensbasis konfigurieren
Add Data to Knowledge Base;Daten zur Wissensbasis hinzufügen
Export Knowledge Base as RDF/XML;Wissensbasis als RDF/XML exportieren
Export Knowledge Base as RDF/JSON;Wissensbasis als RDF/JSON exportieren
Export Knowledge Base as RDF/N3;Wissensbasis als RDF/N3 exportieren
Export Knowledge Base as RDF/JSON (Talis);Wissensbasis als RDF/JSON (Talis) exportieren
Export Knowledge Base as Turtle;Wissensbasis als Turtle exportieren
Export Knowledge Base as Notation 3;Wissensbasis als N3 exportieren
Export Knowledge Base as N-Triples;Wissensbasis als N-Triples exportieren
Delete Knowledge Base;Wissensbasis löschen
;
Toggle show Permalink;Permalink anzeigen/verstecken
Toggle show Resource Query;Resource Query anzeigen/verstecken
Toggle show Value Query;Value Query anzeigen/verstecken
;
# Wochentage;
Monday;Montag
Tuesday;Dienstag
Wednesday;Mittwoch
Thursday;Donnerstag
Friday;Freitag
Saturday;Samstag
Sunday;Sonntag
;
Add Class;Klasse hinzufügen
Add Instance;Instanz hinzufügen
;
Show Properties;Eigenschaften anzeigen
;
Filter;Filter
Combine Filters (Conjunction);Filter kombinieren (Konjunktion)
;
Merge;Zusammenführen
Visit resource on the web;Ressource im Netz aufsuchen
;
FOAFSSL;FOAF+SSL
;
# explore tags module;
Explore Tags;Schlagwörter / Tag-Wolken
Reset Explore Tags Box;Modul zurücksetzen
Reset selected tags;Tag-Auswahl zurücksetzen
Number of showed tags;Anzahl Tags
Sort;Sortierung
by name;nach Name
by frequency;nach Anzahl
;
;
;
;
#SPARQL Query Editor;
Query Editor;Abfragen-Editor
Output Format;Ausgabeformat
Inline List;Inline-Liste
Default List;Standard-Liste
Get as file;Als Datei
Query Source;Datenquelle
Which Model do you want to query?;Welche Wissensbasis möchten Sie abfragen?
this model;aktuelle Wissensbasis
all models;alle Wissensbasen
Save Query;Abfrage speichern
If you think your query can be useful for others, please share it.;Falls Ihre Abfrage auch für andere nützlich sein könnte, speichern Sie sie bitte.
name of query;Bezeichnung für Abfrage
share with others;Mit Anderen teilen
Saved Queries;Gespeicherte Abfragen
views;Aufrufe
Open with:;Öffnen mit:
Please click a button to open query.;Bitte eine Schaltfläche anklicken, um Query zu öffnen.
;
;
#ImageHelper;
Image Helper;Visualisierung
;
;
Show Me More;Zeige mehr
;
;
;
# navigation module;
Number of Elements;Anzahl Ressourcen
Toggle Elements;Elemente anzeigen/verstecken
Reset Navigation;Navigation zurücksetzen
Add Resource here;Ressource hier anlegen
Show Hidden Elements;Versteckte Ressourcen einblenden
Hide Hidden Elements;Versteckte Ressourcen ausblenden
By order property;Nach Ordnungseigenschaft
By Label;Nach Bezeichnung
;
# filter extension;
Toggle help;Hilfe (de)aktivieren
filter_help1;Wörter die durch Leerzeichen getrennt sind müssen alle im Ergebnis enthalten sein, dabei spielt die eingegebene Reihenfolge keine Rolle.
filter_help2;Phrasen können gesucht werden, indem die Wortgruppe in einfache Anführungszeichen gesetzt wird (Strg + #).
filter_help3;Werden mindestens vier Buchstaben eingegeben, kann anschließend durch Sternchen '*' eine Trunkierung erfolgen.
filter_help4;Sobald die Suche die Wörter AND oder OR enthält, muss die komplette bif:contains-Syntax benutzt werden.
Further info;Mehr Informationen
Active Filters;Aktive Filter
Search in list;Suche in Liste
Add;Filter hinzufügen
Remove all;Alle Filter zurücksetzen
Add Filter;Filter hinzufügen
equals;gleich
none loaded;keine Entsprechungen
or;oder
not;nicht
set;Setzen
cancel;Abbrechen
contains;enthält
larger;größer
smaller;kleiner
between;zwischen
bound;gebunden
;
;
;
# Export;
As CSV;Als CSV herunterladen
Advanced export;Erweiterte Exportoptionen
advanced options;Erweiterte Optionen
Download as csv with labels;CSV mit Bezeichnern herunterladen
Download as csv with uris;CSV mit URIs herunterladen
show;anzeigen
Export list as;Liste exportieren als
or;oder
Advanced export options;Erweiterte Exportoptionen
;
# Last changes;
Last changes;Letzte Änderungen
Last changes for;Letzte Änderungen für
resource;Ressource
newer changes;Neuere Änderungen
older changes;Ältere Ánderungen
;
# Feed URLs;
http://amsl.technology/feed/?lang=en;http://amsl.technology/feed/?lang=de
